Team,Played,Won,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points,Form
Arsenal,16,11,3,2,30,10,20,36,DWDWLW
Manchester City,16,11,1,4,38,16,22,34,WLWWWW
Aston Villa,16,10,3,3,25,17,8,33,WWWWWW
Chelsea,16,8,4,4,27,15,12,28,WWDLDW
Crystal Palace,16,7,5,4,20,15,5,26,DWLWWL
Manchester United,16,7,5,4,30,26,4,26,DLWDWD
Liverpool,16,8,2,6,26,24,2,26,LLWDDW
Sunderland,16,7,5,4,19,17,2,26,DLWDLW
Everton,16,7,3,6,18,19,-1,24,WWLWWL
Brighton & Hove Albion,16,6,5,5,25,23,2,23,DWWLDL
Tottenham Hotspur,16,6,4,6,25,21,4,22,DLLDWL
Newcastle United,16,6,4,6,21,20,1,22,LWWDWL
AFC Bournemouth,16,5,6,5,25,28,-3,21,LDLLDD
Fulham,16,6,2,8,23,26,-3,20,LWWLLW
Brentford,16,6,2,8,22,25,-3,20,WLWLLD
Nottingham Forest,16,5,3,8,17,25,-8,18,WWLWLW
Leeds United,16,4,4,8,20,30,-10,16,LLLWDD
West Ham United,16,3,4,9,19,32,-13,13,WDLDDL
Burnley,16,3,1,12,18,33,-15,10,LLLLLL
Wolverhampton Wanderers,16,0,2,14,9,35,-26,2,LLLLLL
